Uh nej nej: Deskal øve sig;https://ekstrabladet.dk/musik/koncert_anmeldelser/uh-nej-nej-de-skal-oeve-sig/9795146
Tyskerne kom:Odense i flammer;https://ekstrabladet.dk/musik/koncert_anmeldelser/tyskerne-kom-odense-i-flammer/9793942
Færdige: Hovednavnudbrændte;https://ekstrabladet.dk/musik/koncert_anmeldelser/faerdige-hovednavn-udbraendte/9791881
Blondine svigtet:Folk blev væk;https://ekstrabladet.dk/musik/koncert_anmeldelser/blondine-svigtet-folk-blev-vaek/9791748
Fjolser forpesterfestivalstart;https://ekstrabladet.dk/musik/koncert_anmeldelser/fjolser-forpester-festivalstart/9791730
Sensationel eneri Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/sensationel-ener-i-royal-arena/9788471
Striptease medforvandlet Lukas;https://ekstrabladet.dk/musik/koncert_anmeldelser/striptease-med-forvandlet-lukas/9785017
Rolig nu: Han erikke så liderlig;https://ekstrabladet.dk/musik/koncert_anmeldelser/rolig-nu-han-er-ikke-saa-liderlig/9785019
Uværdigt:Rystende ringvrag;https://ekstrabladet.dk/musik/koncert_anmeldelser/uvaerdigt-rystende-ringvrag/9785020
Tragedie påhovedscenen;https://ekstrabladet.dk/musik/koncert_anmeldelser/tragedie-paa-hovedscenen/9783865
Svanens død:Forladt på festival;https://ekstrabladet.dk/musik/koncert_anmeldelser/svanens-doed-forladt-paa-festival/9783852
Topløst vanvidpå jysk festival;https://ekstrabladet.dk/musik/koncert_anmeldelser/toploest-vanvid-paa-jysk-festival/9783850
Han scorerdin kæreste;https://ekstrabladet.dk/musik/koncert_anmeldelser/han-scorer-din-kaereste/9783379
Medina sabotererkæmpe fest;https://ekstrabladet.dk/musik/koncert_anmeldelser/medina-saboterer-kaempe-fest/9782517
'Fissemusik'med hul i;https://ekstrabladet.dk/musik/koncert_anmeldelser/fissemusik-med-hul-i/9782202
Nik & Jay heltblæst i Jylland;https://ekstrabladet.dk/musik/koncert_anmeldelser/nik-jay-helt-blaest-i-jylland/9779659
Pervers stodderstikker af igen;https://ekstrabladet.dk/musik/koncert_anmeldelser/pervers-stodder-stikker-af-igen/9779653
